model,key,MAE,RMSE,MAPE,sMAPE,CV_RMSE,NRMSE,MBE,R2
LightGBM,lightgbm,14.3671,39.9918,10.8485,8.7778,19.7337,2.6009,-1.5774,0.971
Transformer,transformer,13.809,40.0913,10.4295,8.3398,19.7828,2.6074,-0.949,0.9709
Attn-LSTM,attn_lstm,14.1765,41.0456,10.6125,8.5802,20.2538,2.6695,-0.6414,0.9695
TFT,tft,15.2124,42.9312,11.0969,8.7932,21.1842,2.7921,-0.9472,0.9666
GRU,gru,15.637,43.1533,11.368,9.2806,21.2938,2.8066,-1.7675,0.9663
TCN,tcn,17.2379,43.7108,12.7068,10.4208,21.5689,2.8428,0.1543,0.9654
CNN-LSTM,cnn_lstm,16.1029,43.8815,11.801,9.6361,21.6531,2.8539,-1.1111,0.9651
LSTM,lstm,17.9921,48.9367,12.3029,10.114,24.1476,3.1827,-2.1641,0.9566
Seasonal-naive,seasonal_naive,19.8538,52.1949,16.2321,12.8092,25.7553,3.3946,-0.0587,0.9507
Ridge,linear,21.0968,52.6826,15.5384,13.0763,25.996,3.4263,-4.5081,0.9497
Persistence,persistence,35.8758,78.6568,21.6855,24.1367,38.8128,5.1156,-20.2333,0.888
