model,key,step,MAE,RMSE
Persistence,persistence,1,11.741631507873535,43.650203704833984
Persistence,persistence,2,14.187671661376953,45.46653366088867
Persistence,persistence,3,15.970471382141113,47.146507263183594
Persistence,persistence,4,17.066165924072266,47.57865524291992
Persistence,persistence,5,18.66586685180664,49.36678695678711
Persistence,persistence,6,20.012235641479492,50.0036506652832
Persistence,persistence,7,24.366477966308594,56.52468490600586
Persistence,persistence,8,42.606956481933594,85.85629272460938
Persistence,persistence,9,49.15361022949219,95.38133239746094
Persistence,persistence,10,53.55390548706055,100.65303039550781
Persistence,persistence,11,55.990291595458984,102.14474487304688
Persistence,persistence,12,55.95201873779297,102.56876373291016
Persistence,persistence,13,54.31998062133789,96.55923461914062
Persistence,persistence,14,53.21931076049805,94.12018585205078
Persistence,persistence,15,51.95053482055664,92.47352600097656
Persistence,persistence,16,50.89405059814453,91.99376678466797
Persistence,persistence,17,49.75243377685547,94.12716674804688
Persistence,persistence,18,48.697059631347656,97.71499633789062
Persistence,persistence,19,43.54154968261719,94.81250762939453
Persistence,persistence,20,38.11092758178711,86.11271667480469
Persistence,persistence,21,33.220558166503906,76.24979400634766
Persistence,persistence,22,24.84574317932129,59.9760627746582
Persistence,persistence,23,18.329687118530273,51.707191467285156
Persistence,persistence,24,14.869376182556152,47.39128494262695
Seasonal-naive,seasonal_naive,1,13.151069641113281,44.08436584472656
Seasonal-naive,seasonal_naive,2,13.001888275146484,44.067623138427734
Seasonal-naive,seasonal_naive,3,13.073697090148926,44.811946868896484
Seasonal-naive,seasonal_naive,4,13.043204307556152,43.771461486816406
Seasonal-naive,seasonal_naive,5,13.75251579284668,44.43557357788086
Seasonal-naive,seasonal_naive,6,14.668599128723145,45.77384567260742
Seasonal-naive,seasonal_naive,7,16.699132919311523,48.736324310302734
Seasonal-naive,seasonal_naive,8,21.878559112548828,53.91709518432617
Seasonal-naive,seasonal_naive,9,22.877286911010742,53.9410285949707
Seasonal-naive,seasonal_naive,10,25.35431671142578,57.07004165649414
Seasonal-naive,seasonal_naive,11,26.744361877441406,61.1170654296875
Seasonal-naive,seasonal_naive,12,27.4934139251709,68.01978302001953
Seasonal-naive,seasonal_naive,13,26.100727081298828,58.59126281738281
Seasonal-naive,seasonal_naive,14,25.01378059387207,55.409297943115234
Seasonal-naive,seasonal_naive,15,25.028688430786133,55.54015350341797
Seasonal-naive,seasonal_naive,16,24.957862854003906,54.90938186645508
Seasonal-naive,seasonal_naive,17,23.175683975219727,52.87954330444336
Seasonal-naive,seasonal_naive,18,22.130247116088867,51.771812438964844
Seasonal-naive,seasonal_naive,19,20.13579559326172,50.92151641845703
Seasonal-naive,seasonal_naive,20,19.721996307373047,53.247894287109375
Seasonal-naive,seasonal_naive,21,20.16988182067871,55.054725646972656
Seasonal-naive,seasonal_naive,22,17.361555099487305,50.06888198852539
Seasonal-naive,seasonal_naive,23,16.087446212768555,49.00708770751953
Seasonal-naive,seasonal_naive,24,14.869376182556152,47.39128494262695
Ridge,linear,1,16.20888328552246,48.579315185546875
Ridge,linear,2,16.454750061035156,48.85678482055664
Ridge,linear,3,16.64093017578125,49.39967346191406
Ridge,linear,4,16.289758682250977,48.336185455322266
Ridge,linear,5,16.647733688354492,48.21419143676758
Ridge,linear,6,17.12176513671875,48.602516174316406
Ridge,linear,7,18.865556716918945,51.09620666503906
Ridge,linear,8,23.315216064453125,54.377628326416016
Ridge,linear,9,24.8684024810791,54.72224426269531
Ridge,linear,10,25.655378341674805,55.686275482177734
Ridge,linear,11,26.469585418701172,58.305240631103516
Ridge,linear,12,26.34065818786621,60.97748947143555
Ridge,linear,13,25.41961097717285,56.19679641723633
Ridge,linear,14,24.417564392089844,53.44367599487305
Ridge,linear,15,24.041229248046875,53.35342025756836
Ridge,linear,16,23.728315353393555,53.200687408447266
Ridge,linear,17,22.207855224609375,51.841304779052734
Ridge,linear,18,21.88303565979004,52.0771598815918
Ridge,linear,19,21.514265060424805,52.91263961791992
Ridge,linear,20,21.564624786376953,54.509674072265625
Ridge,linear,21,21.281103134155273,54.16829299926758
Ridge,linear,22,18.83500099182129,51.14653778076172
Ridge,linear,23,18.688718795776367,51.471473693847656
Ridge,linear,24,17.863401412963867,50.578399658203125
LightGBM,lightgbm,1,9.481754302978516,34.6160888671875
LightGBM,lightgbm,2,10.165274620056152,35.38679122924805
LightGBM,lightgbm,3,10.51779842376709,36.25434494018555
LightGBM,lightgbm,4,10.509641647338867,35.32061004638672
LightGBM,lightgbm,5,11.162057876586914,35.81138610839844
LightGBM,lightgbm,6,11.79370403289795,36.81354522705078
LightGBM,lightgbm,7,13.173653602600098,39.18130111694336
LightGBM,lightgbm,8,14.968053817749023,40.34572219848633
LightGBM,lightgbm,9,15.428292274475098,40.13180923461914
LightGBM,lightgbm,10,16.741788864135742,42.17354965209961
LightGBM,lightgbm,11,17.644060134887695,44.404781341552734
LightGBM,lightgbm,12,17.9254150390625,48.47692108154297
LightGBM,lightgbm,13,17.223201751708984,42.93914031982422
LightGBM,lightgbm,14,16.663591384887695,40.25688171386719
LightGBM,lightgbm,15,16.617704391479492,40.589881896972656
LightGBM,lightgbm,16,16.975910186767578,40.783119201660156
